year,month,project,downloads
2018,10,altair,2694
2018,10,beautifulsoup,70695
2018,10,bokeh,90988
2018,10,dash,17344
2018,10,django,659797
2018,10,flask,1733294
2018,10,keras,389033
2018,10,lightgbm,65148
2018,10,matplotlib,1124270
2018,10,numpy,3714962
2018,10,pandas,1768236
2018,10,plotly,251566
2018,10,pymc3,8785
2018,10,pyspark,110424
2018,10,pytorch,5068
2018,10,scikit-learn,1482778
2018,10,scipy,1350634
2018,10,scrapy,75267
2018,10,seaborn,169453
2018,10,selenium,451705
2018,10,streamlit,1624
2018,10,tensorflow,584107
2018,10,torch,52226
2018,10,xgboost,257195
2018,11,altair,9381
2018,11,beautifulsoup,317501
2018,11,bokeh,426048
2018,11,dash,74680
2018,11,django,2630899
2018,11,flask,6114795
2018,11,keras,1435265
2018,11,lightgbm,237788
2018,11,matplotlib,4125413
2018,11,numpy,13715484
2018,11,pandas,6893065
2018,11,plotly,923045
2018,11,pymc3,33861
2018,11,pyspark,567104
2018,11,pytorch,23344
2018,11,scikit-learn,4474535
2018,11,scipy,5064019
2018,11,scrapy,286269
2018,11,seaborn,700450
2018,11,selenium,1872144
2018,11,streamlit,4493
2018,11,tensorflow,2266951
2018,11,torch,240308
2018,11,xgboost,899865
2018,12,altair,9470
2018,12,beautifulsoup,353241
2018,12,bokeh,340952
2018,12,dash,71446
2018,12,django,2405201
2018,12,flask,5744618
2018,12,keras,1415726
2018,12,lightgbm,198538
2018,12,matplotlib,3473729
2018,12,numpy,12093715
2018,12,pandas,6650292
2018,12,plotly,856092
2018,12,pymc3,33578
2018,12,pyspark,555925
2018,12,pytorch,20630
2018,12,scikit-learn,4262882
2018,12,scipy,5053556
2018,12,scrapy,272364
2018,12,seaborn,722105
2018,12,selenium,2015948
2018,12,streamlit,7419
2018,12,tensorflow,2186424
2018,12,torch,403516
2018,12,xgboost,850581
2019,1,altair,14299
2019,1,beautifulsoup,268235
2019,1,bokeh,392855
2019,1,dash,86023
2019,1,django,2801048
2019,1,flask,8298547
2019,1,keras,1745570
2019,1,lightgbm,216345
2019,1,matplotlib,3938743
2019,1,numpy,14634795
2019,1,pandas,8338684
2019,1,plotly,995351
2019,1,pymc3,44452
2019,1,pyspark,629688
2019,1,pytorch,24589
2019,1,scikit-learn,6007809
2019,1,scipy,6074141
2019,1,scrapy,293040
2019,1,seaborn,792419
2019,1,selenium,2192507
2019,1,streamlit,7507
2019,1,tensorflow,2938590
2019,1,torch,422418
2019,1,xgboost,1020334
2019,2,altair,14306
2019,2,beautifulsoup,250593
2019,2,bokeh,402483
2019,2,dash,76245
2019,2,django,2739622
2019,2,flask,8167667
2019,2,keras,1621469
2019,2,lightgbm,272258
2019,2,matplotlib,4333697
2019,2,numpy,17545629
2019,2,pandas,10122282
2019,2,plotly,992548
2019,2,pymc3,38565
2019,2,pyspark,676695
2019,2,pytorch,21738
2019,2,scikit-learn,7111801
2019,2,scipy,7223290
2019,2,scrapy,390020
2019,2,seaborn,798827
2019,2,selenium,2382776
2019,2,streamlit,4408
2019,2,tensorflow,2499191
2019,2,torch,408794
2019,2,xgboost,1124488
2019,3,altair,17387
2019,3,beautifulsoup,252691
2019,3,bokeh,404462
2019,3,dash,111610
2019,3,django,3060883
2019,3,flask,9949344
2019,3,keras,1675911
2019,3,lightgbm,352852
2019,3,matplotlib,7703170
2019,3,numpy,19622475
2019,3,pandas,10124652
2019,3,plotly,1120799
2019,3,pymc3,44714
2019,3,pyspark,815129
2019,3,pytorch,28205
2019,3,scikit-learn,7947348
2019,3,scipy,7925007
2019,3,scrapy,395747
2019,3,seaborn,908477
2019,3,selenium,2514250
2019,3,streamlit,4489
2019,3,tensorflow,3231622
2019,3,torch,483803
2019,3,xgboost,1370223
2019,4,altair,17006
2019,4,beautifulsoup,281351
2019,4,bokeh,367506
2019,4,dash,71699
2019,4,django,2813991
2019,4,flask,8287575
2019,4,keras,1479082
2019,4,lightgbm,372149
2019,4,matplotlib,6704397
2019,4,numpy,15169975
2019,4,pandas,8435308
2019,4,plotly,1043054
2019,4,pymc3,36419
2019,4,pyspark,918832
2019,4,pytorch,24741
2019,4,scikit-learn,6100683
2019,4,scipy,7237304
2019,4,scrapy,437428
2019,4,seaborn,951935
2019,4,selenium,1879920
