year,month,project,downloads
2018,10,beautifulsoup,89106
2018,10,dash,22699
2018,10,django,875781
2018,10,flask,2199858
2018,10,keras,512468
2018,10,matplotlib,1349923
2018,10,numpy,4965300
2018,10,pandas,2252690
2018,10,plotly,327142
2018,10,pytorch,7876
2018,10,requests,9737686
2018,10,seaborn,235161
2018,10,selenium,586508
2018,10,shiny,43
2018,10,streamlit,1818
2018,10,tensorflow,757674
2018,11,beautifulsoup,317501
2018,11,dash,74680
2018,11,django,2630899
2018,11,flask,6114795
2018,11,keras,1435265
2018,11,matplotlib,4125413
2018,11,numpy,13715484
2018,11,pandas,6893065
2018,11,plotly,923045
2018,11,pytorch,23344
2018,11,requests,29860578
2018,11,seaborn,700450
2018,11,selenium,1872144
2018,11,shiny,95
2018,11,streamlit,4493
2018,11,tensorflow,2266951
2018,12,beautifulsoup,353241
2018,12,dash,71446
2018,12,django,2405201
2018,12,flask,5744618
2018,12,keras,1415726
2018,12,matplotlib,3473729
2018,12,numpy,12093715
2018,12,pandas,6650292
2018,12,plotly,856092
2018,12,pytorch,20630
2018,12,requests,30115036
2018,12,seaborn,722105
2018,12,selenium,2015948
2018,12,shiny,83
2018,12,streamlit,7419
2018,12,tensorflow,2186424
2019,1,beautifulsoup,268235
2019,1,dash,86023
2019,1,django,2801048
2019,1,flask,8298547
2019,1,keras,1745570
2019,1,matplotlib,3938743
2019,1,numpy,14634795
2019,1,pandas,8338684
2019,1,plotly,995351
2019,1,pytorch,24589
2019,1,requests,33945919
2019,1,seaborn,792419
2019,1,selenium,2192507
2019,1,shiny,105
2019,1,streamlit,7507
2019,1,tensorflow,2938590
2019,2,beautifulsoup,250593
2019,2,dash,76245
2019,2,django,2739622
2019,2,flask,8167667
2019,2,keras,1621469
2019,2,matplotlib,4333697
2019,2,numpy,17545629
2019,2,pandas,10122282
2019,2,plotly,992548
2019,2,pytorch,21738
2019,2,requests,35044293
2019,2,seaborn,798827
2019,2,selenium,2382776
2019,2,shiny,213
2019,2,streamlit,4408
2019,2,tensorflow,2499191
2019,3,beautifulsoup,252691
2019,3,dash,111610
2019,3,django,3060883
2019,3,flask,9949344
2019,3,keras,1675911
2019,3,matplotlib,7703170
2019,3,numpy,19622475
2019,3,pandas,10124652
2019,3,plotly,1120799
2019,3,pytorch,28205
2019,3,requests,43449433
2019,3,seaborn,908477
2019,3,selenium,2514250
2019,3,shiny,141
2019,3,streamlit,4489
2019,3,tensorflow,3231622
2019,4,beautifulsoup,281351
2019,4,dash,71699
2019,4,django,2813991
2019,4,flask,8287575
2019,4,keras,1479082
2019,4,matplotlib,6704397
2019,4,numpy,15169975
2019,4,pandas,8435308
2019,4,plotly,1043054
2019,4,pytorch,24741
2019,4,requests,38256004
2019,4,seaborn,951935
2019,4,selenium,1879920
2019,4,shiny,123
2019,4,streamlit,3785
2019,4,tensorflow,2769662
2019,5,beautifulsoup,254582
2019,5,dash,101524
2019,5,django,3313499
2019,5,flask,9759598
2019,5,keras,1873789
2019,5,matplotlib,7625851
2019,5,numpy,20413249
2019,5,pandas,12224712
2019,5,plotly,1255729
2019,5,pytorch,36120
2019,5,requests,50958525
2019,5,seaborn,1564607
2019,5,selenium,2160857
2019,5,shiny,110
2019,5,streamlit,3591
2019,5,tensorflow,3462475
2019,6,beautifulsoup,247802
2019,6,dash,105101
2019,6,django,3583423
2019,6,flask,9348091
2019,6,keras,1793736
2019,6,matplotlib,7647998
2019,6,numpy,22238193
2019,6,pandas,14458929
2019,6,plotly,1255121
2019,6,pytorch,35541
2019,6,requests,51692342
2019,6,seaborn,1924171
2019,6,selenium,2032180
2019,6,shiny,145
2019,6,streamlit,4483
2019,6,tensorflow,3382165
2019,7,beautifulsoup,229783
2019,7,dash,136996
2019,7,django,3763787
2019,7,flask,10899391
2019,7,keras,2128429
2019,7,matplotlib,8899291
2019,7,numpy,24102174
2019,7,pandas,16723351
